Code|Lepidoptera|Superfamily|Family|Subfamily|Tribe|Genus
0001|Lepidoptera|Papilionoidea|Nymphalidae|Nymphalinae|Junoniini|Hypolimnas|Hypolimnas-misippus
0002|Lepidoptera|Papilionoidea|Papilionidae|Papilioninae|Papilionini|Papilio|Papilio-polymnestor
0003|Lepidoptera|Papilionoidea|Hesperiidae|Coeliadinae||Badamia|Badamia-exclamationis
0005|Lepidoptera|Papilionoidea|Pieridae|Pierinae|Pierini|Cepora|Cepora-nadina
0006|Lepidoptera|Papilionoidea|Riodinidae|Nemeobiinae|Nemeobiini|Zemeros|Zemeros-flegyas
0009|Lepidoptera|Papilionoidea|Nymphalidae|Heliconiinae|Acraeini|Acraea|Acraea-violae
0011|Lepidoptera|Papilionoidea|Nymphalidae|Charaxinae|Charaxini|Charaxes|Charaxes-bharata
0013|Lepidoptera|Papilionoidea|Papilionidae|Papilioninae|Leptocircini|Graphium|Graphium-agamemnon
0014|Lepidoptera|Papilionoidea|Hesperiidae|Hesperiinae|Aeromachini|Iambrix|Iambrix-salsala
0016|Lepidoptera|Papilionoidea|Nymphalidae|Limenitidinae|Neptini|Neptis|Neptis-hylas
0017|Lepidoptera|Papilionoidea|Nymphalidae|Satyrinae|Satyrini|Orsotriaena|Orsotriaena-medus
0018|Lepidoptera|Papilionoidea|Pieridae|Pierinae|Nepheroniini|Pareronia|Pareronia-hippia
0020|Lepidoptera|Papilionoidea|Lycaenidae|Theclinae|Horagini|Rathinda|Rathinda-amor
0021|Lepidoptera|Papilionoidea|Hesperiidae|Hesperiinae|Aeromachini|Suastus|Suastus-gremius
0024|Lepidoptera|Papilionoidea|Nymphalidae|Danainae|Danaini|Tirumala|Tirumala-septentrionis
0025|Lepidoptera|Papilionoidea|Nymphalidae|Satyrinae|Satyrini|Ypthima|Ypthima-baldus
0028|Lepidoptera|Papilionoidea|Lycaenidae|Polyommatinae|Polyommatini|Jamides|Jamides-celeno
0029|Lepidoptera|Papilionoidea|Lycaenidae|Theclinae|Deudorigini|Rapala|Rapala-iarbus
0030|Lepidoptera|Papilionoidea|Lycaenidae|Polyommatinae|Polyommatini|Zizula|Zizula-hylax
0031|Lepidoptera|Papilionoidea|Nymphalidae|Nymphalinae|Kallimini|Kallima|Kallima-horsfieldii
0033|Lepidoptera|Papilionoidea|Lycaenidae|Polyommatinae|Polyommatini|Freyeria|Freyeria-putli
0035|Lepidoptera|Papilionoidea|Lycaenidae|Polyommatinae|Polyommatini|Acytolepis|Acytolepis-puspa
0036|Lepidoptera|Papilionoidea|Lycaenidae|Polyommatinae|Lycaenesthini|Anthene|Anthene-emolus
0038|Lepidoptera|Papilionoidea|Pieridae|Pierinae|Pierini|Appias|Appias-lyncida
0043|Lepidoptera|Papilionoidea|Lycaenidae|Polyommatinae|Polyommatini|Chilades|Chilades-lajus
0049|Lepidoptera|Papilionoidea|Nymphalidae|Danainae|Danaini|Euploea|Euploea-core
0057|Lepidoptera|Papilionoidea|Nymphalidae|Nymphalinae|Junoniini|Hypolimnas|Hypolimnas-bolina
0058|Lepidoptera|Papilionoidea|Nymphalidae|Nymphalinae|Junoniini|Junonia|Junonia-almana
0059|Lepidoptera|Papilionoidea|Nymphalidae|Nymphalinae|Junoniini|Junonia|Junonia-atlites
0060|Lepidoptera|Papilionoidea|Lycaenidae|Polyommatinae|Polyommatini|Leptotes|Leptotes-plinius
0062|Lepidoptera|Papilionoidea|Nymphalidae|Satyrinae|Melanitini|Melanitis|Melanitis-leda
0064|Lepidoptera|Papilionoidea|Papilionidae|Papilioninae|Troidini|Pachliopta|Pachliopta-aristolochiae
0068|Lepidoptera|Papilionoidea|Papilionidae|Papilioninae|Papilionini|Papilio|Papilio-paris
0074|Lepidoptera|Papilionoidea|Lycaenidae|Theclinae|Hypolycaenini|Zeltus|Zeltus-amasa
0076|Lepidoptera|Papilionoidea|Lycaenidae|Miletinae|Spalgini|Spalgis|Spalgis-epeus
0081|Lepidoptera|Papilionoidea|Nymphalidae|Charaxinae|Charaxini|Charaxes|Charaxes-solon
0082|Lepidoptera|Papilionoidea|Nymphalidae|Cyrestinae|Cyrestini|Cyrestis|Cyrestis-thyodamas
0083|Lepidoptera|Papilionoidea|Nymphalidae|Limenitidinae|Adoliadini|Symphaedra|Symphaedra-nais
0086|Lepidoptera|Papilionoidea|Nymphalidae|Apaturinae|Apaturini|Rohana|Rohana-parisatis
0088|Lepidoptera|Papilionoidea|Hesperiidae|Coeliadinae||Hasora|Hasora-chromus
0089|Lepidoptera|Papilionoidea|Pieridae|Pierinae|Pierini|Cepora|Cepora-nerissa
0090|Lepidoptera|Papilionoidea|Pieridae|Pierinae|Pierini|Delias|Delias-eucharis
0092|Lepidoptera|Papilionoidea|Lycaenidae|Polyommatinae|Polyommatini|Jamides|Jamides-bochus
0094|Lepidoptera|Papilionoidea|Lycaenidae|Polyommatinae|Polyommatini|Catochrysops|Catochrysops-strabo
0100|Lepidoptera|Papilionoidea|Lycaenidae|Curetinae||Curetis|Curetis-thetis
0103|Lepidoptera|Papilionoidea|Lycaenidae|Polyommatinae|Polyommatini|Euchrysops|Euchrysops-cnejus
0104|Lepidoptera|Papilionoidea|Nymphalidae|Limenitidinae|Adoliadini|Euthalia|Euthalia-aconthea
0105|Lepidoptera|Papilionoidea|Nymphalidae|Limenitidinae|Adoliadini|Euthalia|Euthalia-lubentina
0107|Lepidoptera|Papilionoidea|Papilionidae|Papilioninae|Leptocircini|Graphium|Graphium-doson
0108|Lepidoptera|Papilionoidea|Papilionidae|Papilioninae|Leptocircini|Graphium|Graphium-nomius
0111|Lepidoptera|Papilionoidea|Nymphalidae|Nymphalinae|Junoniini|Junonia|Junonia-iphita
0112|Lepidoptera|Papilionoidea|Nymphalidae|Nymphalinae|Junoniini|Junonia|Junonia-orithya
0114|Lepidoptera|Papilionoidea|Lycaenidae|Polyommatinae|Polyommatini|Lampides|Lampides-boeticus
0118|Lepidoptera|Papilionoidea|Lycaenidae|Theclinae|Loxurini|Loxura|Loxura-atymnus
0119|Lepidoptera|Papilionoidea|Hesperiidae|Hesperiinae|Aeromachini|Matapa|Matapa-aria
0121|Lepidoptera|Papilionoidea|Papilionidae|Papilioninae|Papilionini|Papilio|Papilio-clytia
0122|Lepidoptera|Papilionoidea|Papilionidae|Papilioninae|Papilionini|Papilio|Papilio-demoleus
0123|Lepidoptera|Papilionoidea|Papilionidae|Papilioninae|Papilionini|Papilio|Papilio-polytes
0125|Lepidoptera|Papilionoidea|Nymphalidae|Limenitidinae|Neptini|Pantoporia|Pantoporia-hordonia
0126|Lepidoptera|Papilionoidea|Nymphalidae|Heliconiinae|Vagrantini|Phalanta|Phalanta-phalantha
0127|Lepidoptera|Papilionoidea|Lycaenidae|Polyommatinae|Polyommatini|Pseudozizeeria|Pseudozizeeria-maha
0128|Lepidoptera|Papilionoidea|Hesperiidae|Pyrginae|Carcharodini|Spialia|Spialia-galba
0129|Lepidoptera|Papilionoidea|Lycaenidae|Theclinae|Aphnaeini|Spindasis|Spindasis-vulcanus
0134|Lepidoptera|Papilionoidea|Hesperiidae|Hesperiinae|Aeromachini|Udaspes|Udaspes-folus
0136|Lepidoptera|Papilionoidea|Lycaenidae|Theclinae|Amblypodiini|Amblypodia|Amblypodia-anita
0138|Lepidoptera|Papilionoidea|Pieridae|Pierinae|Pierini|Appias|Appias-albina
0139|Lepidoptera|Papilionoidea|Pieridae|Pierinae|Pierini|Belenois|Belenois-aurota
0141|Lepidoptera|Papilionoidea|Lycaenidae|Polyommatinae|Polyommatini|Caleta|Caleta-decidia
0144|Lepidoptera|Papilionoidea|Pieridae|Pierinae|Teracolini|Colotis|Colotis-danae
0145|Lepidoptera|Papilionoidea|Pieridae|Coliadinae||Eurema|Eurema-laeta
0146|Lepidoptera|Papilionoidea|Lycaenidae|Theclinae|Deudorigini|Rapala|Rapala-manea
0147|Lepidoptera|Papilionoidea|Lycaenidae|Theclinae|Deudorigini|Virachola|Virachola-isocrates
0148|Lepidoptera|Papilionoidea|Lycaenidae|Polyommatinae|Polyommatini|Zizeeria|Zizeeria-karsandra
0149|Lepidoptera|Papilionoidea|Lycaenidae|Polyommatinae|Lycaenesthini|Anthene|Anthene-lycaenina
0150|Lepidoptera|Papilionoidea|Lycaenidae|Polyommatinae|Polyommatini|Prosotas|Prosotas-dubiosa
0163|Lepidoptera|Papilionoidea|Lycaenidae|Theclinae|Aphnaeini|Spindasis|Spindasis-lohita
0164|Lepidoptera|Papilionoidea|Nymphalidae|Heliconiinae|Vagrantini|Vindula|Vindula-erota
0169|Lepidoptera|Papilionoidea|Papilionidae|Papilioninae|Papilionini|Papilio|Papilio-helenus
0173|Lepidoptera|Papilionoidea|Lycaenidae|Theclinae|Amblypodiini|Iraota|Iraota-timoleon
0179|Lepidoptera|Papilionoidea|Lycaenidae|Polyommatinae|Polyommatini|Neopithecops|Neopithecops-zalmora
0180|Lepidoptera|Papilionoidea|Hesperiidae|Pyrginae|Tagiadini|Caprona|Caprona-ransonnettii
0185|Lepidoptera|Papilionoidea|Hesperiidae|Pyrginae|Celaenorrhinini|Sarangesa|Sarangesa-dasahara
0203|Lepidoptera|Papilionoidea|Pieridae|Pierinae|Teracolini|Colotis|Colotis-aurora
0209|Lepidoptera|Papilionoidea|Nymphalidae|Charaxinae|Charaxini|Charaxes|Charaxes-psaphon
0210|Lepidoptera|Papilionoidea|Lycaenidae|Polyommatinae|Polyommatini|Chilades|Chilades-pandava
0212|Lepidoptera|Papilionoidea|Nymphalidae|Danainae|Danaini|Danaus|Danaus-genutia
0219|Lepidoptera|Papilionoidea|Hesperiidae|Coeliadinae||Hasora|Hasora-taminatus
0221|Lepidoptera|Papilionoidea|Pieridae|Pierinae|Teracolini|Ixias|Ixias-marianne
0222|Lepidoptera|Papilionoidea|Lycaenidae|Polyommatinae|Polyommatini|Megisba|Megisba-malaya
0223|Lepidoptera|Papilionoidea|Nymphalidae|Danainae|Danaini|Parantica|Parantica-aglea
0227|Lepidoptera|Papilionoidea|Nymphalidae|Nymphalinae|Nymphalini|Vanessa|Vanessa-cardui
0229|Lepidoptera|Papilionoidea|Nymphalidae|Nymphalinae|Junoniini|Junonia|Junonia-hierta
0241|Lepidoptera|Papilionoidea|Lycaenidae|Lycaeninae||Heliophorus|Heliophorus-epicles
0251|Lepidoptera|Papilionoidea|Pieridae|Pierinae|Teracolini|Colotis|Colotis-amata
0253|Lepidoptera|Papilionoidea|Nymphalidae|Nymphalinae|Kallimini|Kallima|Kallima-inachus
